,Station,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days
1,FC001A,No animal,26/02/2012 21:23,26/02/2012,21:23:07,0,0,0,0
2,FC001A,No animal,2/03/2012 23:08,2/03/2012,23:08:16,438309,7305,121.8,5.1
3,FC001A,No animal,3/03/2012 6:46,3/03/2012,6:46:09,27473,458,7.6,0.3
4,FC001A,Tawny Frogmouth,3/03/2012 6:49,3/03/2012,6:49:18,189,3,0,0
5,FC001A,Unsure,3/03/2012 6:49,3/03/2012,6:49:54,36,1,0,0
6,FC001A,Tasmanian Devil,4/03/2012 23:52,4/03/2012,23:52:33,147759,2463,41,1.7
7,FC001A,Tasmanian Devil,4/03/2012 23:55,4/03/2012,23:55:02,149,2,0,0
8,FC001A,Tasmanian Devil,4/03/2012 23:56,4/03/2012,23:56:12,70,1,0,0
9,FC003B,Tasmanian Devil,25/02/2012 22:22,25/02/2012,22:22:42,0,0,0,0
10,FC003B,Tasmanian Devil,25/02/2012 22:23,25/02/2012,22:23:44,62,1,0,0
11,FC003B,Tasmanian Devil,25/02/2012 22:24,25/02/2012,22:24:46,62,1,0,0
12,FC003B,Tasmanian Devil,25/02/2012 22:25,25/02/2012,22:25:46,60,1,0,0
13,FC003B,Tasmanian Devil,25/02/2012 22:26,25/02/2012,22:26:50,64,1,0,0
14,FC003B,Tasmanian Devil,25/02/2012 22:28,25/02/2012,22:28:23,93,2,0,0
15,FC003B,Tasmanian Devil,25/02/2012 22:29,25/02/2012,22:29:28,65,1,0,0
16,FC003B,Tasmanian Devil,25/02/2012 22:30,25/02/2012,22:30:31,63,1,0,0
17,FC003B,Tasmanian Devil,25/02/2012 22:31,25/02/2012,22:31:32,61,1,0,0
18,FC003B,Tasmanian Devil,25/02/2012 22:32,25/02/2012,22:32:34,62,1,0,0
19,FC003B,Tasmanian Devil,25/02/2012 22:33,25/02/2012,22:33:35,61,1,0,0
20,FC003B,Tasmanian Devil,25/02/2012 22:35,25/02/2012,22:35:48,133,2,0,0
21,FC003B,No animal,25/02/2012 22:38,25/02/2012,22:38:36,168,3,0,0
22,FC003B,Tasmanian Devil,25/02/2012 22:40,25/02/2012,22:40:17,101,2,0,0
23,FC003B,Tasmanian Devil,25/02/2012 22:41,25/02/2012,22:41:25,68,1,0,0
24,FC003B,Tasmanian Devil,25/02/2012 22:42,25/02/2012,22:42:29,64,1,0,0
25,FC003B,Tasmanian Devil,25/02/2012 22:43,25/02/2012,22:43:29,60,1,0,0
26,FC003B,Tasmanian Devil,25/02/2012 22:44,25/02/2012,22:44:32,63,1,0,0
27,FC003B,Tasmanian Devil,25/02/2012 22:45,25/02/2012,22:45:32,60,1,0,0
28,FC003B,Tasmanian Devil,25/02/2012 22:46,25/02/2012,22:46:36,64,1,0,0
29,FC003B,Tasmanian Devil,25/02/2012 22:47,25/02/2012,22:47:40,64,1,0,0
30,FC003B,Tasmanian Devil,25/02/2012 22:49,25/02/2012,22:49:51,131,2,0,0
31,FC003B,No animal,27/02/2012 1:10,27/02/2012,1:10:28,94837,1581,26.4,1.1
32,FC003B,Tasmanian Devil,27/02/2012 1:11,27/02/2012,1:11:30,62,1,0,0
33,FC003B,Tasmanian Devil,27/02/2012 22:17,27/02/2012,22:17:30,75960,1266,21.1,0.9
34,FC003B,Tasmanian Devil,27/02/2012 23:39,27/02/2012,23:39:26,4916,82,1.4,0.1
35,FC003B,Tasmanian Devil,27/02/2012 23:40,27/02/2012,23:40:29,63,1,0,0
36,FC003B,Tasmanian Devil,29/02/2012 22:44,29/02/2012,22:44:51,169462,2824,47.1,2
37,FC003B,Tasmanian Devil,1/03/2012 21:59,1/03/2012,21:59:42,83691,1395,23.2,1
38,FC003B,Tasmanian Devil,1/03/2012 22:00,1/03/2012,22:00:56,74,1,0,0
39,FC003B,Tasmanian Devil,1/03/2012 22:01,1/03/2012,22:01:56,60,1,0,0
40,FC003B,Tasmanian Devil,1/03/2012 22:04,1/03/2012,22:04:47,171,3,0,0
41,FC003B,Tasmanian Devil,1/03/2012 22:05,1/03/2012,22:05:47,60,1,0,0
42,FC003B,Tasmanian Devil,1/03/2012 22:06,1/03/2012,22:06:48,61,1,0,0
43,FC003B,Tasmanian Devil,1/03/2012 22:07,1/03/2012,22:07:51,63,1,0,0
44,FC003B,Tasmanian Devil,1/03/2012 22:08,1/03/2012,22:08:53,62,1,0,0
45,FC003B,Tasmanian Devil,1/03/2012 22:09,1/03/2012,22:09:56,63,1,0,0
46,FC003B,No animal,2/03/2012 7:16,2/03/2012,7:16:24,32788,546,9.1,0.4
47,FC003B,Tasmanian Devil,2/03/2012 21:45,2/03/2012,21:45:31,52147,869,14.5,0.6
48,FC003B,Tasmanian Devil,2/03/2012 21:46,2/03/2012,21:46:31,60,1,0,0
49,FC003B,Tasmanian Devil,2/03/2012 22:21,2/03/2012,22:21:48,2117,35,0.6,0
50,FC003B,Tasmanian Devil,2/03/2012 22:22,2/03/2012,22:22:49,61,1,0,0
51,FC003B,Tasmanian Devil,2/03/2012 22:23,2/03/2012,22:23:49,60,1,0,0
52,FC003B,No animal,2/03/2012 22:24,2/03/2012,22:24:53,64,1,0,0
53,FC003B,Tasmanian Devil,3/03/2012 22:05,3/03/2012,22:05:46,85253,1421,23.7,1
54,FC003B,Tasmanian Devil,3/03/2012 22:06,3/03/2012,22:06:48,62,1,0,0
55,FC003B,No animal,3/03/2012 23:31,3/03/2012,23:31:33,5085,85,1.4,0.1
56,FC004A,No animal,29/09/2011 7:53,29/09/2011,7:53:12,0,0,0,0
57,FC004A,No animal,29/09/2011 7:53,29/09/2011,7:53:22,10,0,0,0
58,FC005B,Forest Raven,27/02/2012 8:01,27/02/2012,8:01:19,0,0,0,0
59,FC005B,Tasmanian Devil,29/02/2012 0:24,29/02/2012,0:24:31,145392,2423,40.4,1.7
60,FC005B,Tasmanian Devil,29/02/2012 0:25,29/02/2012,0:25:43,72,1,0,0
61,FC005B,Tasmanian Devil,29/02/2012 0:27,29/02/2012,0:27:53,130,2,0,0
62,FC005B,No animal,2/03/2012 0:18,2/03/2012,0:18:43,172250,2871,47.9,2
63,FC007B,Common Wombat,25/02/2011 5:49,25/02/2011,5:49:27,0,0,0,0
64,FC009A,Rabbit,24/02/2012 21:01,24/02/2012,21:01:02,0,0,0,0
65,FC009A,No animal,27/02/2012 21:52,27/02/2012,21:52:03,262261,4371,72.8,3
66,FC009A,No animal,3/03/2012 5:16,3/03/2012,5:16:52,372289,6205,103.4,4.3
67,FC009A,No animal,4/03/2012 23:59,4/03/2012,23:59:48,153776,2563,42.7,1.8
68,FC009A,No animal,5/03/2012 0:11,5/03/2012,0:11:04,676,11,0.2,0
69,FC009A,No animal,5/03/2012 0:51,5/03/2012,0:51:37,2433,41,0.7,0
70,FC009A,No animal,5/03/2012 1:27,5/03/2012,1:27:56,2179,36,0.6,0
71,FC009A,No animal,5/03/2012 2:25,5/03/2012,2:25:37,3461,58,1,0
72,FC011A,No animal,23/02/2012 18:27,23/02/2012,18:27:46,0,0,0,0
73,FC011A,No animal,23/02/2012 18:28,23/02/2012,18:28:30,44,1,0,0
74,FC011A,No animal,23/02/2012 18:32,23/02/2012,18:32:16,226,4,0.1,0
75,FC011A,No animal,23/02/2012 18:48,23/02/2012,18:48:40,984,16,0.3,0
76,FC011A,No animal,23/02/2012 18:49,23/02/2012,18:49:12,32,1,0,0
77,FC011A,No animal,23/02/2012 18:52,23/02/2012,18:52:47,215,4,0.1,0
78,FC011A,NA,23/02/2012 18:54,23/02/2012,18:54:25,98,2,0,0
79,FC011A,No animal,23/02/2012 19:27,23/02/2012,19:27:59,2014,34,0.6,0
80,FC011A,No animal,23/02/2012 19:36,23/02/2012,19:36:56,537,9,0.2,0
81,FC011A,No animal,23/02/2012 19:37,23/02/2012,19:37:51,55,1,0,0
82,FC011A,No animal,23/02/2012 19:38,23/02/2012,19:38:23,32,1,0,0
83,FC011A,No animal,24/02/2012 13:53,24/02/2012,13:53:54,65731,1096,18.3,0.8
84,FC011A,No animal,24/02/2012 13:54,24/02/2012,13:54:31,37,1,0,0
85,FC011A,No animal,24/02/2012 13:55,24/02/2012,13:55:31,60,1,0,0
86,FC011A,No animal,24/02/2012 13:56,24/02/2012,13:56:30,59,1,0,0
87,FC011A,No animal,24/02/2012 13:57,24/02/2012,13:57:26,56,1,0,0
88,FC011A,No animal,24/02/2012 13:58,24/02/2012,13:58:42,76,1,0,0
89,FC011A,No animal,24/02/2012 13:59,24/02/2012,13:59:14,32,1,0,0
90,FC011A,NA,24/02/2012 14:00,24/02/2012,14:00:13,59,1,0,0
91,FC011A,NA,24/02/2012 14:00,24/02/2012,14:00:47,34,1,0,0
92,FC011A,No animal,24/02/2012 14:01,24/02/2012,14:01:34,47,1,0,0
93,FC011A,No animal,24/02/2012 14:02,24/02/2012,14:02:05,31,1,0,0
94,FC011A,NA,24/02/2012 14:02,24/02/2012,14:02:42,37,1,0,0
95,FC011A,No animal,24/02/2012 14:03,24/02/2012,14:03:17,35,1,0,0
96,FC011A,NA,24/02/2012 14:03,24/02/2012,14:03:48,31,1,0,0
97,FC011A,No animal,24/02/2012 14:04,24/02/2012,14:04:37,49,1,0,0
98,FC011A,NA,24/02/2012 14:05,24/02/2012,14:05:14,37,1,0,0
99,FC011A,NA,24/02/2012 14:05,24/02/2012,14:05:48,34,1,0,0
100,FC011A,No animal,24/02/2012 14:06,24/02/2012,14:06:19,31,1,0,0
101,FC011A,No animal,24/02/2012 14:06,24/02/2012,14:06:57,38,1,0,0
102,FC011A,No animal,24/02/2012 14:07,24/02/2012,14:07:39,42,1,0,0
103,FC011A,No animal,24/02/2012 14:08,24/02/2012,14:08:12,33,1,0,0
104,FC011A,No animal,24/02/2012 14:08,24/02/2012,14:08:43,31,1,0,0
105,FC011A,No animal,24/02/2012 14:09,24/02/2012,14:09:19,36,1,0,0
106,FC011A,No animal,24/02/2012 14:10,24/02/2012,14:10:20,61,1,0,0
107,FC011A,No animal,24/02/2012 14:10,24/02/2012,14:10:55,35,1,0,0
108,FC011A,No animal,24/02/2012 14:11,24/02/2012,14:11:29,34,1,0,0
109,FC011A,NA,24/02/2012 14:12,24/02/2012,14:12:04,35,1,0,0
110,FC011A,No animal,24/02/2012 14:12,24/02/2012,14:12:39,35,1,0,0
111,FC011A,NA,24/02/2012 14:13,24/02/2012,14:13:18,39,1,0,0
112,FC011A,NA,24/02/2012 14:14,24/02/2012,14:14:08,50,1,0,0
113,FC011A,No animal,24/02/2012 14:14,24/02/2012,14:14:47,39,1,0,0
114,FC011A,No animal,24/02/2012 14:15,24/02/2012,14:15:52,65,1,0,0
115,FC011A,No animal,24/02/2012 14:16,24/02/2012,14:16:27,35,1,0,0
116,FC011A,NA,24/02/2012 14:17,24/02/2012,14:17:08,41,1,0,0
117,FC011A,No animal,24/02/2012 14:17,24/02/2012,14:17:42,34,1,0,0
118,FC011A,No animal,24/02/2012 14:18,24/02/2012,14:18:27,45,1,0,0
119,FC011A,NA,24/02/2012 14:19,24/02/2012,14:19:06,39,1,0,0
120,FC011A,NA,24/02/2012 14:19,24/02/2012,14:19:42,36,1,0,0
121,FC011A,No animal,24/02/2012 14:20,24/02/2012,14:20:28,46,1,0,0
122,FC011A,No animal,24/02/2012 14:21,24/02/2012,14:21:11,43,1,0,0
123,FC011A,No animal,24/02/2012 15:31,24/02/2012,15:31:59,4248,71,1.2,0
124,FC011A,No animal,24/02/2012 16:08,24/02/2012,16:08:07,2168,36,0.6,0
125,FC011A,No animal,24/02/2012 16:08,24/02/2012,16:08:39,32,1,0,0
126,FC011A,No animal,24/02/2012 16:09,24/02/2012,16:09:15,36,1,0,0
127,FC011A,No animal,24/02/2012 16:09,24/02/2012,16:09:47,32,1,0,0
128,FC011A,No animal,24/02/2012 16:10,24/02/2012,16:10:20,33,1,0,0
129,FC011A,No animal,24/02/2012 16:10,24/02/2012,16:10:56,36,1,0,0
130,FC011A,NA,24/02/2012 16:11,24/02/2012,16:11:32,36,1,0,0
131,FC011A,No animal,24/02/2012 16:12,24/02/2012,16:12:06,34,1,0,0
132,FC011A,No animal,24/02/2012 16:12,24/02/2012,16:12:38,32,1,0,0
133,FC011A,NA,24/02/2012 16:13,24/02/2012,16:13:11,33,1,0,0
134,FC011A,No animal,24/02/2012 16:13,24/02/2012,16:13:42,31,1,0,0
135,FC011A,No animal,24/02/2012 16:14,24/02/2012,16:14:17,35,1,0,0
136,FC011A,No animal,24/02/2012 16:14,24/02/2012,16:14:50,33,1,0,0
137,FC011A,No animal,24/02/2012 16:15,24/02/2012,16:15:25,35,1,0,0
138,FC011A,No animal,24/02/2012 16:16,24/02/2012,16:16:09,44,1,0,0
139,FC011A,NA,24/02/2012 16:16,24/02/2012,16:16:41,32,1,0,0
140,FC011A,No animal,24/02/2012 16:17,24/02/2012,16:17:35,54,1,0,0
141,FC011A,No animal,24/02/2012 16:18,24/02/2012,16:18:10,35,1,0,0
142,FC011A,No animal,24/02/2012 16:18,24/02/2012,16:18:49,39,1,0,0
143,FC011A,NA,24/02/2012 16:19,24/02/2012,16:19:37,48,1,0,0
144,FC011A,No animal,24/02/2012 16:33,24/02/2012,16:33:13,816,14,0.2,0
145,FC011A,No animal,24/02/2012 17:13,24/02/2012,17:13:22,2409,40,0.7,0
146,FC011A,No animal,24/02/2012 17:17,24/02/2012,17:17:21,239,4,0.1,0
147,FC011A,NA,24/02/2012 17:18,24/02/2012,17:18:08,47,1,0,0
148,FC011A,No animal,24/02/2012 17:18,24/02/2012,17:18:41,33,1,0,0
149,FC011A,NA,24/02/2012 17:19,24/02/2012,17:19:23,42,1,0,0
150,FC011A,No animal,24/02/2012 17:21,24/02/2012,17:21:08,105,2,0,0
151,FC011A,No animal,24/02/2012 17:21,24/02/2012,17:21:48,40,1,0,0
152,FC011A,NA,24/02/2012 17:22,24/02/2012,17:22:34,46,1,0,0
153,FC011A,No animal,24/02/2012 17:23,24/02/2012,17:23:09,35,1,0,0
154,FC011A,No animal,24/02/2012 17:23,24/02/2012,17:23:42,33,1,0,0
155,FC011A,NA,24/02/2012 17:24,24/02/2012,17:24:19,37,1,0,0
156,FC011A,No animal,24/02/2012 17:24,24/02/2012,17:24:52,33,1,0,0
